Key,Source
General.Houdini,Houdini
General.HoudiniEngine,Houdini Engine
General.ToolbarButtonTooltip,Open the Houdini Engine UI

Misc.Okay,Okay
Misc.Cancel,Cancel

Screen.Connect.Subheading,Connect to the Houdini Bridge
Screen.Connect.Address,Address
Screen.Connect.Port,Port
Screen.Connect.Btn_Connect,Connect
Screen.Connect.Btn_Settings,Settings

Screen.Error.BridgeNotRunning,Couldn't connect to the Houdini Bridge. Make sure the bridge is running.

Screen.Connected.InfoBar.Connected,Connected to Bridge
Screen.Connected.InfoBar.Disconnect,Disconnect
